Nombre:Ciclo for,,
27,,
0,1,[f]
1,2,[o]
2,3,[r]
3,4,[(]
4,5,[a-zA-Z0-9]+
5,5,[a-zA-Z0-9]+
5,6,[=]
6,7,[0-9]
7,7,[0-9]+
7,8,[;]
8,9,[a-zA-Z0-9]+
9,9,[a-zA-Z0-9]+
9,10,[<>]
9,11,[!]
10,12,[=]
11,13,[=]
12,14,[a-zA-Z0-9]+
10,14,[a-zA-Z0-9]+
13,14,[a-zA-Z0-9]+
14,14,[a-zA-Z0-9]+
14,15,[;]
15,16,[a-zA-Z0-9]+
16,16,[a-zA-Z0-9]+
16,17,[=]
17,18,[a-zA-Z0-9]+
18,18,[a-zA-Z0-9]+
18,19,[+]
19,22,[+]
19,21,[0-9]
20,21,[0-9]
21,21,[0-9]
20,23,[-]
22,24,[)]
21,24,[)]
23,24,[)]
24,25,[{]
25,25,[a-zA-Z0-9]+
25,26,[}]
